ID,Region,Annee,Saison,Temperature_C,Precipitations_mm,Humidite_pct,Amplitude_Thermique_C,Couverture_Forestiere_pct,Biodiversite_Shannon,Eau_Stagnante,Densite_Faune,Densite_Population,Urbanisation,Acces_Soins,Deforestation_pct,Fragmentation_Habitat,Cas_Humains,Prevalence_Animale_pct,Reservoirs_Animaux,Transmission,Agents_Sante_1000,Capacite_Laboratoire,Risque,Type_Ecosysteme,Groupe_Climatique
ECO_02384,REG_0082,2015,Hiver,25.7,495,56,16.9,67.2,1.29,1,4,139,7,5,2.7,6,180,16.8,5,5,1.76,5,Modéré,Savane / Zone Agricole,Tropical
ECO_02385,REG_0082,2012,Hiver,19.5,181,82,2.9,16.8,1.05,0,4,139,3,3,5.8,8,235,11.2,0,5,2.56,4,Faible,Savane / Zone Agricole,Subtropical
ECO_02386,REG_0056,2021,Hiver,35.7,494,60,6.2,34.1,0.89,0,6,188,4,8,7.5,8,95,6.4,2,4,5.52,4,Faible,Savane / Zone Agricole,Tropical
ECO_02387,REG_0123,2024,Été,12.1,262,68,2.0,51.4,2.29,0,5,360,6,8,17.0,5,100,1.5,3,8,3.43,6,Faible,Savane / Zone Agricole,Tempéré
ECO_02388,REG_0112,2014,Printemps,33.4,1798,78,11.0,10.0,1.69,0,4,29,6,5,2.1,6,465,2.3,4,3,1.52,5,Modéré,Savane / Zone Agricole,Tropical
ECO_02389,REG_0115,2011,Automne,13.4,982,65,12.8,32.7,4.0,0,2,319,5,7,25.3,6,85,7.0,1,4,3.6,5,Faible,Forêt Secondaire,Tempéré
ECO_02390,REG_0138,2019,Hiver,11.7,1481,78,13.1,71.5,3.86,1,6,360,3,5,7.1,4,265,5.0,3,8,3.03,4,Faible,Forêt Dense,Tempéré
ECO_02391,REG_0061,2015,Printemps,19.8,274,58,15.4,10.6,1.41,0,3,239,2,4,12.7,7,210,1.6,3,3,5.78,5,Faible,Savane / Zone Agricole,Subtropical
ECO_02392,REG_0053,2015,Automne,18.2,1198,72,4.9,44.1,2.1,0,7,92,4,7,28.2,5,100,12.7,1,4,0.71,6,Faible,Forêt Secondaire,Subtropical
ECO_02393,REG_0051,2010,Été,20.5,2151,59,14.0,41.2,1.1,0,4,341,2,4,11.5,4,290,5.9,4,7,1.76,8,Faible,Forêt Secondaire,Subtropical
ECO_02394,REG_0017,2022,Printemps,28.9,1036,65,11.3,31.0,3.15,1,3,290,5,4,20.6,10,245,2.8,2,5,0.89,3,Faible,Forêt Secondaire,Tropical
ECO_02395,REG_0144,2024,Printemps,20.2,1496,69,20.6,50.4,2.62,1,3,147,5,5,10.8,8,270,19.5,2,3,2.75,3,Faible,Forêt Dense,Subtropical
ECO_02396,REG_0023,2017,Été,22.3,2535,67,15.8,11.7,2.31,0,6,359,4,9,25.6,7,185,4.7,2,5,1.26,10,Faible,Savane / Zone Agricole,Subtropical
ECO_02397,REG_0046,2014,Hiver,20.7,556,78,8.7,29.0,2.11,0,5,238,2,3,2.7,6,50,22.2,6,4,8.04,5,Faible,Savane / Zone Agricole,Subtropical
ECO_02398,REG_0021,2011,Été,22.5,294,42,6.3,25.6,2.51,0,6,713,3,5,4.8,4,150,14.3,6,5,0.25,4,Faible,Savane / Zone Agricole,Subtropical
ECO_02399,REG_0145,2019,Hiver,40.0,800,33,8.4,48.5,1.71,0,6,119,4,3,12.0,5,210,6.7,1,6,1.83,2,Faible,Forêt Secondaire,Tropical
ECO_02400,REG_0129,2014,Été,24.4,695,53,5.7,16.2,4.0,0,4,289,3,5,4.0,8,115,7.4,2,7,4.02,2,Faible,Savane / Zone Agricole,Subtropical
ECO_02401,REG_0114,2012,Hiver,32.9,541,57,2.5,13.1,0.6,1,5,66,2,6,36.9,4,145,1.8,2,6,0.72,5,Modéré,Savane / Zone Agricole,Tropical
ECO_02402,REG_0087,2018,Printemps,40.0,972,80,8.1,80.2,1.16,0,3,277,3,3,17.7,6,200,21.4,2,4,4.76,7,Faible,Forêt Secondaire,Tropical
ECO_02403,REG_0079,2014,Printemps,18.2,849,69,3.9,66.3,2.01,0,5,120,3,3,11.9,5,285,12.1,2,5,0.98,5,Faible,Forêt Secondaire,Subtropical
ECO_02404,REG_0056,2019,Été,32.0,170,61,24.1,37.9,1.73,0,4,395,2,2,5.6,5,300,1.7,3,3,1.62,4,Faible,Savane / Zone Agricole,Tropical
ECO_02405,REG_0026,2024,Printemps,33.6,516,47,2.0,57.1,2.44,0,3,295,5,6,24.0,3,460,3.7,4,3,2.1,2,Faible,Forêt Secondaire,Tropical
ECO_02406,REG_0107,2016,Hiver,25.6,134,46,21.2,57.8,1.27,1,8,470,3,5,22.1,4,210,0.9,2,7,3.14,7,Modéré,Savane / Zone Agricole,Tropical
ECO_02407,REG_0149,2019,Hiver,23.9,1865,38,8.5,25.8,1.11,1,9,130,7,2,11.2,3,115,12.6,1,5,1.59,9,Faible,Savane / Zone Agricole,Subtropical
ECO_02408,REG_0042,2018,Automne,39.9,1325,41,5.8,31.3,2.23,1,4,111,3,4,1.6,6,165,6.3,2,5,9.75,7,Faible,Forêt Secondaire,Tropical
ECO_02409,REG_0088,2015,Été,25.9,591,72,13.9,37.9,2.91,0,2,122,3,6,1.5,4,280,2.8,3,4,1.0,2,Faible,Forêt Secondaire,Tropical
ECO_02410,REG_0007,2016,Automne,15.5,552,62,2.0,19.9,4.0,0,5,106,3,6,28.3,7,190,18.5,3,8,2.91,5,Faible,Savane / Zone Agricole,Tempéré
ECO_02411,REG_0002,2016,Automne,36.6,1264,59,2.0,5.8,0.84,1,4,34,5,4,11.1,1,130,13.9,6,6,0.7,8,Modéré,Savane / Zone Agricole,Tropical
ECO_02412,REG_0113,2018,Automne,33.9,1663,92,2.0,80.2,2.25,0,3,421,5,3,17.3,5,220,14.4,2,6,2.66,2,Modéré,Forêt Dense,Tropical
ECO_02413,REG_0083,2020,Automne,28.1,1017,56,22.1,22.0,0.82,0,4,107,2,4,30.9,5,140,5.2,3,3,6.53,5,Faible,Savane / Zone Agricole,Tropical
ECO_02414,REG_0064,2020,Printemps,26.5,530,77,4.1,46.7,2.23,1,8,523,4,3,2.4,4,235,3.4,0,5,1.98,6,Élevé,Forêt Secondaire,Tropical
ECO_02415,REG_0019,2012,Été,22.9,802,67,25.0,9.1,2.16,0,4,210,6,3,2.0,3,215,2.2,2,2,0.51,3,Faible,Savane / Zone Agricole,Subtropical
ECO_02416,REG_0008,2024,Été,23.9,938,75,9.2,34.9,2.24,0,6,272,4,4,8.8,2,330,5.6,3,4,6.89,1,Faible,Forêt Secondaire,Subtropical
ECO_02417,REG_0073,2014,Automne,12.3,474,42,3.9,15.8,2.51,0,3,340,6,4,20.3,9,210,3.8,4,5,1.09,3,Modéré,Savane / Zone Agricole,Tempéré
ECO_02418,REG_0096,2021,Hiver,17.4,981,79,9.5,19.4,1.57,0,6,509,3,4,12.1,4,180,3.9,5,8,1.54,7,Faible,Savane / Zone Agricole,Tempéré
ECO_02419,REG_0126,2012,Automne,8.8,2087,66,11.3,30.8,3.31,1,2,62,4,4,38.0,7,400,8.9,4,6,2.04,5,Modéré,Forêt Secondaire,Tempéré
ECO_02420,REG_0024,2016,Hiver,33.2,481,39,2.0,34.0,1.26,0,9,19,4,5,4.9,4,105,4.5,4,10,5.18,8,Modéré,Savane / Zone Agricole,Tropical
ECO_02421,REG_0124,2010,Automne,18.9,405,39,13.3,5.2,3.24,1,3,462,3,4,38.5,5,215,2.4,4,7,1.81,2,Modéré,Savane / Zone Agricole,Subtropical
ECO_02422,REG_0001,2013,Printemps,23.3,696,65,2.3,80.5,3.15,0,4,540,4,4,17.9,4,280,5.7,2,3,3.47,7,Faible,Forêt Secondaire,Subtropical
ECO_02423,REG_0082,2021,Hiver,19.1,531,62,12.5,9.5,0.91,0,2,106,7,7,19.3,5,165,12.6,2,5,1.9,5,Faible,Savane / Zone Agricole,Subtropical
ECO_02424,REG_0055,2010,Automne,11.5,615,78,8.5,14.2,4.0,0,6,423,4,5,16.0,1,210,2.9,6,5,2.45,4,Modéré,Savane / Zone Agricole,Tempéré
ECO_02425,REG_0065,2014,Hiver,30.0,404,49,14.2,51.5,0.86,1,4,95,7,5,9.2,4,20,6.4,2,7,2.65,2,Modéré,Savane / Zone Agricole,Tropical
ECO_02426,REG_0123,2011,Été,18.4,1326,79,14.3,33.1,4.0,1,4,154,8,4,21.3,6,230,7.2,3,6,0.12,2,Modéré,Forêt Secondaire,Subtropical
ECO_02427,REG_0091,2013,Été,12.5,1016,57,14.1,14.9,1.29,0,4,130,4,3,6.8,5,235,5.6,0,3,6.6,8,Faible,Savane / Zone Agricole,Tempéré
ECO_02428,REG_0112,2019,Automne,40.0,494,82,11.5,50.3,1.77,0,5,350,5,4,4.2,7,130,4.0,2,4,1.38,4,Faible,Savane / Zone Agricole,Tropical
ECO_02429,REG_0131,2014,Automne,19.8,665,71,3.1,15.5,2.4,0,5,259,2,5,7.0,8,315,2.7,2,4,1.02,5,Faible,Savane / Zone Agricole,Subtropical
ECO_02430,REG_0078,2017,Hiver,-1.2,430,75,4.8,34.4,0.99,0,5,434,4,4,11.6,4,495,1.9,5,3,6.23,4,Faible,Savane / Zone Agricole,Tempéré
ECO_02431,REG_0090,2011,Printemps,19.4,495,73,9.6,55.7,1.27,1,6,153,1,5,19.9,5,125,13.0,3,6,2.61,10,Modéré,Savane / Zone Agricole,Subtropical
ECO_02432,REG_0032,2023,Printemps,2.5,146,64,10.1,19.5,3.7,1,8,310,4,6,46.3,3,115,26.6,3,3,5.02,5,Modéré,Savane / Zone Agricole,Tempéré
ECO_02433,REG_0041,2015,Automne,7.5,1154,49,15.5,31.7,2.84,1,3,139,3,2,6.4,5,160,19.5,1,10,1.52,5,Faible,Forêt Secondaire,Tempéré
ECO_02434,REG_0115,2015,Automne,19.1,693,68,19.9,29.1,1.99,1,3,376,7,2,11.0,4,260,10.2,5,4,2.19,4,Faible,Savane / Zone Agricole,Subtropical
ECO_02435,REG_0064,2011,Été,5.3,739,44,6.0,8.9,2.37,0,5,27,2,3,12.9,5,165,9.5,2,5,4.1,5,Faible,Savane / Zone Agricole,Tempéré
ECO_02436,REG_0092,2015,Été,14.0,2301,85,15.4,38.8,2.19,1,4,141,7,5,15.3,4,330,9.8,4,7,2.41,3,Élevé,Forêt Secondaire,Tempéré
ECO_02437,REG_0146,2019,Hiver,18.5,374,56,13.1,48.9,3.32,1,5,155,3,3,10.4,6,160,7.2,4,6,4.64,8,Modéré,Savane / Zone Agricole,Subtropical
ECO_02438,REG_0017,2013,Automne,26.4,443,73,25.0,51.4,1.59,0,5,652,5,4,1.2,8,345,9.0,3,4,3.2,3,Faible,Savane / Zone Agricole,Tropical
ECO_02439,REG_0075,2017,Automne,11.3,517,67,11.1,31.8,1.32,0,4,163,4,6,2.7,6,125,9.7,6,3,1.65,4,Faible,Forêt Secondaire,Tempéré
ECO_02440,REG_0076,2021,Automne,13.9,1033,83,19.7,56.9,1.63,0,5,186,3,7,5.4,5,300,12.0,2,5,2.13,4,Faible,Forêt Dense,Tempéré
ECO_02441,REG_0120,2013,Automne,13.0,112,65,12.0,53.9,2.36,0,3,96,3,6,24.5,4,170,4.6,2,9,0.61,5,Faible,Savane / Zone Agricole,Tempéré
ECO_02442,REG_0108,2010,Été,24.4,1002,73,9.3,30.0,2.78,0,5,440,8,3,21.0,3,150,4.4,3,3,3.09,5,Faible,Savane / Zone Agricole,Subtropical
ECO_02443,REG_0030,2021,Printemps,21.9,1113,62,15.2,11.4,1.32,0,10,174,2,4,12.6,5,285,1.6,2,9,2.18,5,Faible,Savane / Zone Agricole,Subtropical
ECO_02444,REG_0140,2022,Printemps,28.2,124,41,17.9,29.5,1.85,0,6,670,5,5,11.9,8,190,2.3,6,4,1.33,6,Modéré,Savane / Zone Agricole,Tropical
ECO_02445,REG_0006,2019,Hiver,26.8,145,40,4.5,17.0,4.0,0,7,92,4,2,20.6,6,250,9.2,2,3,2.59,4,Modéré,Savane / Zone Agricole,Tropical
ECO_02446,REG_0133,2021,Hiver,10.1,2791,70,11.0,18.4,3.02,0,6,212,5,2,25.0,3,350,3.1,5,3,3.68,4,Faible,Savane / Zone Agricole,Tempéré
ECO_02447,REG_0011,2024,Automne,26.0,122,82,2.4,33.6,3.22,0,3,555,5,4,8.3,4,195,11.6,1,6,1.43,1,Modéré,Savane / Zone Agricole,Tropical
ECO_02448,REG_0100,2016,Printemps,17.3,151,68,4.6,17.3,3.61,0,5,66,7,6,10.1,5,455,7.5,3,7,2.27,5,Faible,Savane / Zone Agricole,Tempéré
ECO_02449,REG_0110,2018,Été,1.9,235,90,9.6,59.9,0.86,1,4,212,2,3,6.0,4,175,11.4,2,4,2.51,3,Faible,Savane / Zone Agricole,Tempéré
ECO_02450,REG_0096,2013,Printemps,21.1,498,58,12.3,50.7,0.78,0,5,194,2,8,17.4,6,270,8.4,2,5,4.83,4,Faible,Savane / Zone Agricole,Subtropical
ECO_02451,REG_0078,2024,Automne,25.8,1268,32,3.9,18.0,2.93,0,4,301,3,6,12.9,4,470,13.2,3,4,0.49,5,Faible,Savane / Zone Agricole,Tropical
ECO_02452,REG_0054,2023,Hiver,16.7,508,51,16.6,22.5,2.0,1,3,252,3,6,25.6,2,150,13.9,2,4,0.24,4,Faible,Savane / Zone Agricole,Tempéré
ECO_02453,REG_0139,2016,Été,22.7,349,79,11.2,56.7,2.73,0,5,149,1,5,11.4,7,245,7.3,3,6,1.86,9,Faible,Savane / Zone Agricole,Subtropical
ECO_02454,REG_0015,2016,Été,20.9,174,52,8.9,26.4,3.52,1,10,127,4,7,11.7,7,205,1.3,1,4,2.24,5,Faible,Savane / Zone Agricole,Subtropical
ECO_02455,REG_0136,2018,Printemps,23.3,1107,91,10.8,31.8,0.82,0,5,65,3,3,21.1,5,95,6.6,2,1,1.76,6,Faible,Forêt Secondaire,Subtropical
ECO_02456,REG_0106,2019,Hiver,24.7,1996,61,2.0,38.7,2.72,1,4,112,3,3,30.8,4,210,3.9,2,4,1.14,5,Faible,Forêt Secondaire,Subtropical
ECO_02457,REG_0071,2014,Automne,30.5,634,95,6.3,7.5,0.96,1,5,372,3,3,25.5,5,65,11.1,5,10,5.56,5,Modéré,Savane / Zone Agricole,Tropical
ECO_02458,REG_0067,2020,Été,21.6,640,30,2.5,50.3,1.95,0,4,501,7,3,23.3,8,345,6.7,3,3,1.26,5,Faible,Forêt Secondaire,Subtropical
ECO_02459,REG_0052,2011,Automne,17.2,742,70,4.6,65.7,4.0,1,5,540,5,8,0.8,3,150,2.5,5,5,1.3,6,Modéré,Forêt Secondaire,Tempéré
ECO_02460,REG_0040,2020,Printemps,20.9,405,64,15.6,66.3,2.72,0,8,185,3,7,25.3,6,150,1.2,1,4,2.39,4,Faible,Savane / Zone Agricole,Subtropical
ECO_02461,REG_0030,2013,Printemps,32.9,1422,62,8.5,61.5,1.33,0,5,391,6,6,11.1,5,415,10.1,2,7,1.12,3,Modéré,Forêt Dense,Tropical
ECO_02462,REG_0114,2015,Automne,6.3,412,65,25.0,34.9,1.37,0,6,203,5,5,37.1,5,160,6.8,7,4,2.74,5,Faible,Savane / Zone Agricole,Tempéré
ECO_02463,REG_0145,2017,Automne,40.0,491,71,23.5,33.0,1.23,0,6,102,4,3,13.4,7,140,6.9,3,6,0.7,5,Modéré,Savane / Zone Agricole,Tropical
ECO_02464,REG_0031,2015,Printemps,21.9,3000,57,11.0,8.0,1.56,0,5,444,3,6,12.9,7,125,6.8,4,4,3.94,5,Faible,Savane / Zone Agricole,Subtropical
ECO_02465,REG_0056,2017,Hiver,13.9,843,74,25.0,16.6,4.0,0,4,471,4,5,14.8,3,180,10.2,2,6,4.68,3,Faible,Savane / Zone Agricole,Tempéré
ECO_02466,REG_0101,2017,Automne,30.2,444,75,9.4,57.6,1.67,0,8,102,4,2,6.7,7,255,3.5,1,4,7.69,5,Modéré,Savane / Zone Agricole,Tropical
ECO_02467,REG_0117,2013,Été,19.0,89,73,4.8,45.4,1.67,0,3,452,5,7,6.6,3,200,13.5,3,5,1.37,6,Faible,Savane / Zone Agricole,Subtropical
ECO_02468,REG_0091,2011,Printemps,27.5,1249,65,3.4,28.8,2.98,1,5,233,4,5,23.3,4,95,2.7,2,6,1.28,6,Faible,Savane / Zone Agricole,Tropical
ECO_02469,REG_0050,2014,Printemps,39.2,328,79,3.9,20.7,2.71,0,6,910,1,4,27.5,6,165,12.8,1,2,2.33,3,Modéré,Savane / Zone Agricole,Tropical
ECO_02470,REG_0006,2016,Été,17.4,673,65,5.1,77.9,0.99,1,7,446,6,4,11.4,3,160,3.7,3,5,2.34,6,Faible,Forêt Secondaire,Tempéré
ECO_02471,REG_0105,2023,Été,24.8,781,68,10.0,47.7,1.97,1,1,849,5,4,16.3,5,160,7.3,2,8,2.85,5,Faible,Forêt Secondaire,Subtropical
ECO_02472,REG_0076,2014,Automne,11.4,446,48,15.4,43.5,2.15,0,3,218,2,5,20.8,5,240,1.9,3,8,9.0,5,Faible,Savane / Zone Agricole,Tempéré
ECO_02473,REG_0073,2015,Printemps,13.7,302,86,24.7,33.5,2.83,0,3,15,2,4,39.5,7,320,11.3,1,4,3.94,5,Faible,Savane / Zone Agricole,Tempéré
ECO_02474,REG_0136,2020,Hiver,35.5,372,45,13.8,56.6,1.56,0,7,501,5,2,13.2,4,105,10.7,3,8,5.51,6,Modéré,Savane / Zone Agricole,Tropical
ECO_02475,REG_0007,2024,Printemps,14.1,1719,83,3.9,19.0,1.89,0,9,198,2,5,29.3,4,260,2.9,1,7,2.82,2,Faible,Savane / Zone Agricole,Tempéré
ECO_02476,REG_0029,2017,Printemps,27.4,660,62,12.6,42.2,1.81,1,2,67,4,4,9.5,7,325,1.4,5,4,3.62,8,Modéré,Forêt Secondaire,Tropical
ECO_02477,REG_0030,2012,Été,-2.5,986,48,7.4,26.6,0.6,0,10,139,4,5,6.6,4,300,11.3,2,6,6.46,3,Faible,Savane / Zone Agricole,Tempéré
ECO_02478,REG_0058,2019,Hiver,20.3,1428,90,5.3,49.0,1.51,0,5,999,3,6,7.1,5,85,8.4,4,3,3.29,3,Faible,Forêt Secondaire,Subtropical
ECO_02479,REG_0009,2024,Printemps,33.0,201,65,8.9,13.6,1.57,0,4,384,4,6,14.7,4,105,2.7,6,5,1.11,5,Faible,Savane / Zone Agricole,Tropical
ECO_02480,REG_0116,2011,Été,15.7,601,38,3.6,26.5,1.23,1,2,170,3,3,14.8,4,215,9.8,3,9,2.4,3,Faible,Savane / Zone Agricole,Tempéré
ECO_02481,REG_0115,2023,Automne,27.8,130,95,11.8,37.5,1.27,1,4,349,5,6,0.7,6,245,22.5,6,2,4.25,4,Modéré,Savane / Zone Agricole,Tropical
ECO_02482,REG_0026,2015,Printemps,24.5,346,76,6.1,24.1,1.68,0,6,239,5,2,2.1,8,255,10.4,5,5,4.32,4,Faible,Savane / Zone Agricole,Subtropical
ECO_02483,REG_0064,2014,Hiver,22.1,623,59,10.8,36.5,1.48,0,2,431,3,6,4.3,7,60,2.9,2,6,1.99,4,Faible,Forêt Secondaire,Subtropical
ECO_02484,REG_0049,2015,Été,2.3,516,82,6.5,32.7,2.78,0,6,431,3,5,21.9,5,140,11.7,2,3,2.73,2,Faible,Forêt Secondaire,Tempéré
ECO_02485,REG_0059,2011,Automne,37.1,1762,76,5.3,9.8,1.61,1,3,197,3,6,10.3,4,165,3.8,4,3,2.35,3,Modéré,Savane / Zone Agricole,Tropical
ECO_02486,REG_0150,2023,Printemps,24.6,1297,71,11.4,76.7,3.45,0,6,215,1,3,15.6,5,370,8.2,2,4,1.92,4,Faible,Forêt Dense,Subtropical
ECO_02487,REG_0072,2017,Hiver,22.7,1033,77,2.0,52.0,1.75,1,3,525,4,6,6.7,4,235,12.3,2,6,5.02,5,Faible,Forêt Dense,Subtropical
ECO_02488,REG_0138,2019,Printemps,23.6,53,65,25.0,22.2,3.34,1,5,74,5,4,3.1,4,370,3.4,5,5,2.34,6,Faible,Savane / Zone Agricole,Subtropical
ECO_02489,REG_0007,2011,Été,36.3,692,79,5.3,37.5,1.77,1,5,183,5,3,26.3,5,295,10.7,4,5,3.41,4,Modéré,Forêt Secondaire,Tropical
ECO_02490,REG_0012,2024,Été,32.7,589,92,9.3,23.5,2.64,0,5,229,5,2,5.7,5,120,13.8,3,1,4.38,5,Faible,Savane / Zone Agricole,Tropical
ECO_02491,REG_0079,2011,Été,9.7,1565,75,2.0,18.3,1.31,1,6,133,1,4,28.4,4,175,7.4,2,7,1.74,5,Modéré,Savane / Zone Agricole,Tempéré
ECO_02492,REG_0129,2016,Hiver,27.0,50,35,2.9,65.0,1.53,0,10,244,1,4,5.6,5,200,5.5,6,4,0.8,6,Faible,Savane / Zone Agricole,Tropical
ECO_02493,REG_0002,2015,Automne,15.3,691,95,6.8,31.7,1.39,1,4,173,5,3,20.5,2,225,6.8,2,8,2.87,5,Élevé,Forêt Secondaire,Tempéré
ECO_02494,REG_0126,2023,Été,11.2,610,72,12.8,16.2,1.11,0,9,140,4,3,11.6,3,150,15.4,6,5,1.27,4,Faible,Savane / Zone Agricole,Tempéré
ECO_02495,REG_0023,2013,Automne,15.6,464,64,7.6,7.2,0.98,0,7,610,4,6,28.0,7,265,8.5,1,4,1.17,8,Faible,Savane / Zone Agricole,Tempéré
ECO_02496,REG_0010,2012,Automne,15.8,278,70,2.8,22.7,1.98,0,5,429,4,1,22.1,6,155,16.5,3,6,0.92,6,Faible,Savane / Zone Agricole,Tempéré
ECO_02497,REG_0124,2011,Hiver,27.9,833,30,12.2,21.0,1.59,0,3,274,3,6,18.0,5,345,4.6,4,9,3.61,4,Faible,Savane / Zone Agricole,Tropical
ECO_02498,REG_0032,2013,Hiver,18.3,494,63,25.0,28.3,1.65,1,2,168,3,5,30.6,4,350,3.8,2,5,1.27,6,Faible,Savane / Zone Agricole,Subtropical
ECO_02499,REG_0040,2014,Hiver,17.3,1132,42,12.1,6.7,1.64,0,7,618,6,4,28.5,5,200,16.4,1,7,2.59,6,Faible,Savane / Zone Agricole,Tempéré
ECO_02500,REG_0087,2018,Automne,13.1,1183,69,6.0,31.8,4.0,0,7,601,2,5,15.5,5,195,8.8,6,6,2.41,3,Faible,Forêt Secondaire,Tempéré
ECO_02501,REG_0015,2014,Automne,21.3,519,75,17.3,42.5,2.1,1,4,139,1,7,9.6,5,265,1.8,2,4,3.05,5,Faible,Forêt Secondaire,Subtropical
ECO_02502,REG_0029,2014,Automne,22.5,1301,53,7.4,50.7,1.19,0,3,99,3,4,4.0,6,250,1.5,4,4,2.28,5,Faible,Forêt Dense,Subtropical
ECO_02503,REG_0010,2014,Hiver,28.8,212,30,4.8,42.9,2.84,1,7,104,4,4,16.8,2,470,3.8,2,6,5.09,6,Modéré,Savane / Zone Agricole,Tropical
ECO_02504,REG_0101,2010,Été,4.1,1481,68,10.0,50.0,4.0,1,3,552,6,3,7.1,3,155,13.9,1,5,2.28,2,Modéré,Forêt Secondaire,Tempéré
ECO_02505,REG_0031,2022,Printemps,23.9,585,65,2.0,49.9,2.94,1,5,433,5,7,12.4,4,310,4.9,3,8,6.83,5,Faible,Forêt Secondaire,Subtropical
ECO_02506,REG_0039,2010,Hiver,40.0,796,83,22.1,19.7,3.5,1,6,732,5,5,20.5,2,500,6.1,4,4,2.22,6,Modéré,Savane / Zone Agricole,Tropical
ECO_02507,REG_0009,2012,Été,7.5,955,78,13.2,72.4,0.7,0,3,313,4,4,25.9,5,70,13.5,1,3,2.42,8,Modéré,Forêt Secondaire,Tempéré
ECO_02508,REG_0025,2022,Été,31.8,495,68,16.3,10.7,0.97,0,6,78,4,6,38.7,6,245,9.8,6,6,3.08,3,Modéré,Savane / Zone Agricole,Tropical
ECO_02509,REG_0059,2016,Automne,33.8,299,56,9.3,33.7,4.0,0,3,275,3,7,7.4,3,125,5.2,5,7,2.96,7,Faible,Savane / Zone Agricole,Tropical
ECO_02510,REG_0097,2010,Été,32.9,1714,91,16.3,37.9,4.0,0,3,222,4,5,4.7,6,110,18.0,10,10,1.87,7,Modéré,Forêt Secondaire,Tropical
ECO_02511,REG_0057,2011,Automne,21.2,602,72,2.2,41.1,1.74,0,6,317,4,5,6.6,6,230,9.0,1,4,3.82,4,Faible,Forêt Secondaire,Subtropical
ECO_02512,REG_0127,2017,Automne,15.6,599,52,3.6,23.8,4.0,0,2,200,4,6,7.7,6,195,2.5,3,5,5.27,5,Faible,Savane / Zone Agricole,Tempéré
ECO_02513,REG_0092,2016,Été,35.6,748,79,15.0,73.5,1.68,0,4,251,3,6,13.7,5,140,10.5,4,4,3.75,6,Modéré,Forêt Secondaire,Tropical
ECO_02514,REG_0050,2013,Été,37.1,344,50,20.9,18.7,0.82,1,5,169,6,6,3.5,6,250,6.6,4,3,2.24,6,Modéré,Savane / Zone Agricole,Tropical
ECO_02515,REG_0104,2012,Automne,30.1,310,68,5.2,42.7,2.75,1,5,43,4,7,31.0,6,410,14.0,3,3,5.25,3,Modéré,Savane / Zone Agricole,Tropical
ECO_02516,REG_0053,2014,Printemps,-2.8,476,49,14.6,56.0,1.43,0,4,944,3,9,12.3,5,235,4.4,1,4,4.93,3,Faible,Savane / Zone Agricole,Tempéré
ECO_02517,REG_0085,2019,Été,-3.3,3000,70,4.1,11.5,4.0,0,5,380,4,8,23.9,6,145,8.8,5,3,2.5,5,Faible,Savane / Zone Agricole,Tempéré
ECO_02518,REG_0006,2017,Été,-5.0,1037,77,2.0,40.4,1.19,0,6,159,3,3,13.2,4,165,4.2,1,6,5.5,4,Modéré,Forêt Secondaire,Tempéré
ECO_02519,REG_0015,2020,Hiver,37.1,803,57,13.1,22.6,3.12,0,5,772,5,4,6.2,5,175,13.3,1,8,6.75,5,Faible,Savane / Zone Agricole,Tropical
ECO_02520,REG_0124,2010,Automne,7.5,677,58,18.7,32.8,1.8,0,6,162,5,5,9.8,2,265,5.2,3,8,1.99,7,Faible,Forêt Secondaire,Tempéré
ECO_02521,REG_0092,2011,Été,30.5,888,87,7.2,11.3,1.25,1,4,366,4,4,4.4,5,295,13.4,3,7,1.87,4,Modéré,Savane / Zone Agricole,Tropical
ECO_02522,REG_0081,2014,Hiver,24.4,145,56,9.4,12.4,0.84,0,6,222,4,5,9.0,4,340,16.6,5,6,1.33,5,Faible,Savane / Zone Agricole,Subtropical
ECO_02523,REG_0064,2010,Été,12.4,1120,30,8.3,55.6,2.84,0,7,509,1,4,16.1,5,295,12.8,1,2,7.31,5,Faible,Forêt Dense,Tempéré
ECO_02524,REG_0082,2010,Printemps,22.6,149,56,2.0,47.2,1.43,0,7,61,4,8,22.1,4,175,8.7,4,4,1.49,2,Faible,Savane / Zone Agricole,Subtropical
ECO_02525,REG_0149,2018,Été,13.0,528,63,8.0,27.3,1.06,0,5,295,5,4,3.4,7,275,1.7,3,7,4.25,6,Faible,Savane / Zone Agricole,Tempéré
ECO_02526,REG_0017,2016,Automne,33.5,636,59,6.6,57.0,1.32,1,5,34,8,4,31.4,8,205,14.8,1,2,2.92,2,Modéré,Forêt Secondaire,Tropical
ECO_02527,REG_0040,2020,Automne,19.1,252,79,4.2,40.0,0.63,1,2,358,2,2,14.9,3,80,16.3,6,4,0.1,4,Faible,Savane / Zone Agricole,Subtropical
ECO_02528,REG_0014,2024,Hiver,14.7,755,78,25.0,11.4,1.16,0,4,29,2,6,30.6,8,270,1.8,3,3,1.95,6,Faible,Savane / Zone Agricole,Tempéré
ECO_02529,REG_0064,2016,Printemps,18.4,321,47,8.8,17.0,1.31,0,3,516,9,6,40.7,4,175,4.4,1,4,5.05,9,Faible,Savane / Zone Agricole,Subtropical
ECO_02530,REG_0060,2010,Été,15.9,170,64,11.3,49.5,1.32,0,4,85,2,8,22.4,6,265,5.3,3,3,1.65,3,Faible,Savane / Zone Agricole,Tempéré
